San Luis Obispo,SLO,0,350
Grover Beach,GVB,12,347
Guadalupe - Santa Maria,GUA,25,325
Lompoc - Surf Station,LPS,51,321
Goleta,GTA,110,316
Santa Barbara,SBA,119,312
Carpinteria,CPN,129,309
Ventura,VEC,145,288
Oxnard,OXN,155,280
Camarillo,CML,165,268
Moorpark,MPK,175,258
Simi Valley,SIM,186,253
Chatsworth,CWT,194,248
Van Nuys,VNC,203,222
Burbank - Bob Hope Airport,BUR,209,216
Glendale,GDL,216,209
Los Angeles - Union Station,LAX,222,203
Fullerton,FUL,248,194
Anaheim - Angel's Stadium,ANA,253,186
Santa Ana,SNA,258,175
Irvine,IRV,268,165
San Juan Capistrano,SNC,280,155
San Clemente - Pier,SNP,288,145
Oceanside,OSD,309,129
Carlsbad - Village,CBV,312,119
Carlsbad - Pointsettia,POI,316,110
Encinitas,ENC,321,51
Solana Beach,SOL,325,25
San Diego - Old Town,OLT,347,12
San Diego - Santa Fe Depot,SAN,350,0